nb,acura,audi,bmw,honda,infiniti,lexus,nissan,toyota
acura, ,0.4688980117602301,0.8057589375883659,0.3507488495166299,0.46271218559645144,0.4367299535447384,0.7169258735608968,0.7020302145741644
audi, , ,0.5796035432957267,0.6517912929890497,0.48980581123582545,0.37355152661026514,0.9012381949162398,0.5712518917273336
bmw, , , ,0.8643832002605122,0.6673865419573357,0.5987905968285112,0.9896935170146892,0.7092723505165437
honda, , , , ,0.6817670311913899,0.5308975326621947,0.4870198533867192,0.49876517140706195
infiniti, , , , , ,0.3048564456261527,0.3083552144347943,0.546736395049867
lexus, , , , , , ,0.5376944051706726,0.43298502540082684
nissan, , , , , , , ,0.44564670276647655
toyota, , , , , , , , 
